City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Avesta,SE,2021-05-30 23:06:44,60.1455,16.1679,61.39,74,73,4.63
68,Lodwar,KE,2021-05-30 23:06:44,3.1191,35.5973,83.93,43,47,13.33
69,Thompson,CA,2021-05-30 23:06:45,55.7435,-97.8558,62.4,28,40,4.5
70,Punta Arenas,CL,2021-05-30 23:02:23,-53.15,-70.9167,33.12,69,26,7.18
71,Bairiki,KI,2021-05-30 23:06:45,1.3292,172.9752,86.0,79,40,12.88
72,Mar Del Plata,AR,2021-05-30 23:06:04,-38.0023,-57.5575,49.12,60,0,3.0
73,Puerto Ayora,EC,2021-05-30 23:06:46,-0.7393,-90.3518,74.55,86,19,7.0
74,Kalamare,BW,2021-05-30 23:06:46,-22.9337,26.5703,57.67,22,6,3.13
75,Bambous Virieux,MU,2021-05-30 23:04:59,-20.3428,57.7575,72.21,82,31,8.28
76,Bredasdorp,ZA,2021-05-30 23:05:09,-34.5322,20.0403,52.16,78,83,3.49
77,Matara,LK,2021-05-30 23:05:46,5.9485,80.5353,79.68,86,99,14.81
78,Lazaro Cardenas,MX,2021-05-30 23:06:47,17.9583,-102.2,86.34,62,72,9.66
79,Bathsheba,BB,2021-05-30 23:06:47,13.2167,-59.5167,81.21,65,40,17.58
80,Castro,BR,2021-05-30 23:06:48,-24.7911,-50.0119,56.23,99,100,2.1
81,Kalmunai,LK,2021-05-30 23:06:48,7.4167,81.8167,79.9,80,77,4.43
82,Tamandare,BR,2021-05-30 23:06:48,-8.7597,-35.1047,75.6,88,85,6.02
83,Stawell,AU,2021-05-30 23:06:49,-37.05,142.7667,41.23,64,0,4.65
84,Lebu,CL,2021-05-30 23:06:49,-37.6167,-73.65,54.1,93,100,9.55
85,Hami,CN,2021-05-30 23:06:49,42.8,93.45,66.83,12,0,6.53
86,Tilichiki,RU,2021-05-30 23:06:50,60.4667,166.1,43.72,71,98,0.81
87,San Cristobal,VE,2021-05-30 23:06:50,7.7669,-72.225,75.38,86,39,3.96
88,Nabire,ID,2021-05-30 23:06:50,-3.3667,135.4833,78.48,91,98,1.88
89,Hobart,AU,2021-05-30 23:06:51,-42.8794,147.3294,43.11,90,40,4.32
90,Port Hardy,CA,2021-05-30 23:06:51,50.6996,-127.4199,53.62,94,100,8.1
91,Padang,ID,2021-05-30 23:06:51,-0.9492,100.3543,75.47,95,98,4.72
92,Vilhena,BR,2021-05-30 23:06:52,-12.7406,-60.1458,72.25,49,52,2.19
93,Qaqortoq,GL,2021-05-30 23:06:11,60.7167,-46.0333,48.7,72,0,3.96
94,Guerrero Negro,MX,2021-05-30 23:06:52,27.9769,-114.0611,66.65,60,3,19.98
95,Russell,US,2021-05-30 23:06:52,32.3502,-85.1999,80.2,43,1,4.52
96,Alta Floresta,BR,2021-05-30 23:02:06,-9.8756,-56.0861,74.21,65,21,4.05
97,Ilulissat,GL,2021-05-30 23:06:53,69.2167,-51.1,35.62,80,75,14.97
98,Kavaratti,IN,2021-05-30 23:06:53,10.5669,72.642,82.56,77,92,17.02
99,Saint George,US,2021-05-30 23:06:53,37.1041,-113.5841,97.27,10,1,1.99
100,Constitucion,CL,2021-05-30 23:06:54,-35.3333,-72.4167,55.17,73,100,9.42
101,Katsuura,JP,2021-05-30 23:04:52,35.1333,140.3,73.24,68,7,14.58
102,Provideniya,RU,2021-05-30 23:06:54,64.3833,-173.3,51.91,50,0,22.37
103,Kavieng,PG,2021-05-30 23:06:55,-2.5744,150.7967,82.35,79,100,10.36
104,Bage,BR,2021-05-30 23:06:55,-31.3314,-54.1069,45.81,70,0,5.75
105,Hermanus,ZA,2021-05-30 23:06:56,-34.4187,19.2345,54.9,74,98,6.08
106,Cidreira,BR,2021-05-30 23:06:56,-30.1811,-50.2056,51.03,56,23,6.91
107,Clyde River,CA,2021-05-30 23:06:56,70.4692,-68.5914,28.6,88,54,2.1
108,Marsa Matruh,EG,2021-05-30 23:06:57,31.3525,27.2453,70.75,85,0,17.34
109,Nalut,LY,2021-05-30 23:06:57,30.3333,10.85,79.84,31,40,14.72
110,Dwarka,IN,2021-05-30 23:06:57,22.2394,68.9678,82.89,81,100,15.9
111,Tyrma,RU,2021-05-30 23:06:58,50.0833,132.1667,55.35,56,67,4.94
112,Muros,ES,2021-05-30 23:06:58,42.7762,-9.0603,66.83,74,26,7.92
113,Salalah,OM,2021-05-30 23:06:58,17.0151,54.0924,82.49,89,40,4.61
114,Nanortalik,GL,2021-05-30 23:06:59,60.1432,-45.2371,37.45,86,15,19.8
115,Vostok,RU,2021-05-30 23:05:36,46.4856,135.8833,43.9,92,100,2.46
116,Evensk,RU,2021-05-30 23:06:59,61.95,159.2333,42.62,68,100,3.51
117,Dikson,RU,2021-05-30 23:06:59,73.5069,80.5464,30.2,98,100,4.47
118,Phalodi,IN,2021-05-30 23:07:00,27.1333,72.3667,87.24,60,33,18.59
119,Gamba,GA,2021-05-30 23:07:00,-2.65,10.0,76.12,91,91,7.81
120,Tezu,IN,2021-05-30 23:07:00,27.9167,96.1667,75.65,71,89,1.68
121,Bluff,NZ,2021-05-30 23:07:01,-46.6,168.3333,49.8,90,100,21.88
122,Naze,JP,2021-05-30 23:07:01,28.3667,129.4833,71.74,83,98,16.98
123,Cherskiy,RU,2021-05-30 23:05:32,68.75,161.3,61.36,29,0,5.7
124,Axim,GH,2021-05-30 23:07:02,4.8699,-2.2405,79.0,87,91,7.29
125,Husavik,IS,2021-05-30 23:07:02,66.0449,-17.3389,53.15,62,89,17.6
126,Dalhousie,IN,2021-05-30 23:07:03,32.5333,75.9833,59.4,55,20,7.38
127,Itarema,BR,2021-05-30 23:07:03,-2.9248,-39.9167,78.58,79,1,12.55
